Source,Target,Type,Weight
A1312,A4337,Undirected,1
A1043,A2353,Undirected,2
A255,A3277,Undirected,1
A1815,A3645,Undirected,1
A2871,A4705,Undirected,1
A1510,A2072,Undirected,1
A4517,A5076,Undirected,1
A4420,A4705,Undirected,1
A904,A3872,Undirected,1
A2445,A4686,Undirected,1
A1815,A4891,Undirected,1
A564,A3541,Undirected,1
A3156,A4336,Undirected,1
A651,A5058,Undirected,1
A2868,A4697,Undirected,1
A4274,A5418,Undirected,2
A2210,A2478,Undirected,1
A1236,A1897,Undirected,1
A790,A1618,Undirected,1
A3081,A3201,Undirected,1
A1291,A3201,Undirected,1
A1615,A1790,Undirected,1
A786,A2456,Undirected,1
A3201,A3771,Undirected,1
A1727,A5158,Undirected,1
A1618,A1853,Undirected,2
A74,A5214,Undirected,1
A3359,A4058,Undirected,1
A4274,A4976,Undirected,1
A1930,A2304,Undirected,1
A1584,A3492,Undirected,1
A1312,A4372,Undirected,1
A2430,A3255,Undirected,1
A1181,A3932,Undirected,1
A977,A4776,Undirected,1
A438,A4577,Undirected,1
A1924,A2572,Undirected,1
A699,A1724,Undirected,1
A2221,A2692,Undirected,1
A2132,A2807,Undirected,1
A232,A4315,Undirected,1
A3106,A4288,Undirected,1
A1287,A3280,Undirected,1
A1749,A2525,Undirected,1
A1537,A4697,Undirected,1
A4336,A4337,Undirected,2
A907,A1618,Undirected,1
A726,A4870,Undirected,1
A526,A3771,Undirected,1
A666,A5401,Undirected,1
A2749,A4117,Undirected,1
A908,A1599,Undirected,1
A3092,A3468,Undirected,1
A1576,A4337,Undirected,1
A2498,A4227,Undirected,1
A2445,A4056,Undirected,1
A5286,A5418,Undirected,1
A1706,A4054,Undirected,1
A971,A4056,Undirected,1
A2427,A4058,Undirected,10
A1790,A4108,Undirected,2
A264,A5189,Undirected,2
A255,A3457,Undirected,1
A2074,A3207,Undirected,1
A297,A490,Undirected,1
A1749,A3934,Undirected,1
A320,A3004,Undirected,1
A152,A1749,Undirected,1
A3962,A5284,Undirected,1
A444,A896,Undirected,1
A673,A1725,Undirected,1
