Id,Label
castaway_ref,std_name
627,david starkey
2829,u a fanthorpe
265,bernard cornwell
960,geoffrey palmer
84,alison richard
2695,stephen poliakoff
2233,raymond briggs
2934,yvonne brewster
1678,lorin maazel
2136,philippe petit
2040,patrick stewart
1271,jarvis cocker
1165,imelda staunton
608,david king
2473,satish kumar
1961,nigel slater
283,betsy blair
64,alexander mccall smith
2432,ruby wax
2069,paulo coelho
2362,ronald searle
1451,josephine cox
337,brenda blethyn
1475,julian clary
903,frank gardner
1874,michael winner
1222,jacqueline wilson
1754,mario testino
333,boris johnson mp
435,chris evans
2251,renee fleming
1794,mary midgley
493,colin firth
604,david hope
1708,maggi hambling
1411,john rutter
1521,kelly holmes
2281,richard griffiths
915,frankie dettori
1419,john sutherland
2422,rt hon shirley williams
1296,jeremy irons
1500,karen armstrong
929,frederic raphael
2212,rachel whiteread
1199,jack higgins
2751,terence stamp
567,daniel barenboim
576,darcey bussell
2547,sir digby jones
2395,rt hon david cameron mp
183,armando iannucci
971,george davies
2107,peter mansfield
1635,lord browne
1907,monty don
2223,rankin
737,dr hanna segal
592,david edgar
1869,michael rosen
2504,simon cowell
2,a a gill
1334,joan plowright
2201,quentin blake
1263,jane horrocks
2317,robert fisk
378,camila batmanghelidjh
1118,heston blumenthal
1671,lord stevens
1805,matt lucas
2235,raymond gubbay
1501,karl jenkins
1020,gloria hunniford
155,anthony horowitz
786,edna o brien
119,ann daniels
340,brian aldiss
1933,neil tennant
2042,paul abbott
1043,grayson perry
105,andrew neil
1458,jp donleavy
107,andy kershaw
1319,jo brand
2189,professor raymond tallis
254,ben helfgott
1338,joanna lumley
1044,greg dyke
2056,paul mckenna
2787,tom blundell
2930,yoko ono
462,christy moore
2300,ricky gervais
2886,wangari maathai
2508,simon russell beale
1996,oliver postgate
2771,thomas keneally
1949,nicola horlick
101,andrew davies
881,felix dennis
2882,vladimir jurowski
982,george michael
40,alan johnson
1304,jill balcon
1653,lord joffe
1939,nicholas parsons
815,eliza manningham buller
184,armistead maupin
2704,steven isserlis
58,alec jeffreys
2064,paul weller
