Source,Target,Type,Weight
337,337,Undirected,28
214,214,Undirected,28
2216,2216,Undirected,28
351,351,Undirected,28
518,518,Undirected,28
2467,2467,Undirected,28
2463,2463,Undirected,28
745,745,Undirected,28
2180,2180,Undirected,28
1627,1627,Undirected,28
178,178,Undirected,21
1409,1409,Undirected,28
2063,2063,Undirected,28
634,634,Undirected,21
564,564,Undirected,28
1415,1415,Undirected,28
2656,2656,Undirected,28
1016,1016,Undirected,28
720,720,Undirected,28
1650,1650,Undirected,28
606,606,Undirected,28
2599,2599,Undirected,28
296,296,Undirected,28
309,309,Undirected,28
1766,1766,Undirected,28
1316,1316,Undirected,28
1006,1006,Undirected,21
660,660,Undirected,28
770,770,Undirected,28
1770,1770,Undirected,28
901,901,Undirected,28
1001,1001,Undirected,28
25,25,Undirected,21
2026,2026,Undirected,28
1148,1148,Undirected,28
2058,2058,Undirected,28
1547,1547,Undirected,15
2077,2077,Undirected,28
609,609,Undirected,21
50,50,Undirected,28
758,758,Undirected,28
1223,1223,Undirected,28
2624,2624,Undirected,28
2893,2893,Undirected,28
608,608,Undirected,28
1038,1038,Undirected,28
1132,1132,Undirected,28
2906,2906,Undirected,28
2004,2004,Undirected,28
1682,1682,Undirected,28
266,266,Undirected,21
2024,2024,Undirected,21
1786,1786,Undirected,28
2816,2816,Undirected,28
1987,1987,Undirected,28
363,363,Undirected,28
512,512,Undirected,28
352,352,Undirected,28
2608,2608,Undirected,6
358,358,Undirected,21
1159,1159,Undirected,28
313,313,Undirected,28
2506,2506,Undirected,28
20,20,Undirected,28
462,462,Undirected,21
2473,2473,Undirected,28
918,918,Undirected,28
1869,1869,Undirected,28
2497,2497,Undirected,28
2105,2105,Undirected,28
759,759,Undirected,28
638,638,Undirected,28
108,108,Undirected,21
1088,1088,Undirected,28
1934,1934,Undirected,21
2139,2139,Undirected,120
2213,2213,Undirected,28
1785,1785,Undirected,28
2680,2680,Undirected,28
2110,2110,Undirected,10
805,805,Undirected,28
493,493,Undirected,15
1141,1141,Undirected,28
11,11,Undirected,28
2886,2886,Undirected,28
1319,1319,Undirected,28
2741,2741,Undirected,28
1680,1680,Undirected,28
1961,1961,Undirected,28
155,155,Undirected,28
978,978,Undirected,28
1100,1100,Undirected,28
2939,2939,Undirected,28
2466,2466,Undirected,28
2829,2829,Undirected,28
226,226,Undirected,21
2523,2523,Undirected,28
100,100,Undirected,28
579,579,Undirected,28
1143,1143,Undirected,28
135,135,Undirected,28
1781,1781,Undirected,28
254,254,Undirected,28
971,971,Undirected,15
611,611,Undirected,21
884,884,Undirected,28
2015,2015,Undirected,28
310,310,Undirected,28
2186,2186,Undirected,21
293,293,Undirected,28
614,614,Undirected,28
977,977,Undirected,28
2116,2116,Undirected,28
2141,2141,Undirected,28
2662,2662,Undirected,28
2304,2304,Undirected,28
486,486,Undirected,28
1293,1293,Undirected,28
1249,1249,Undirected,21
2528,2528,Undirected,28
2498,2498,Undirected,15
627,627,Undirected,28
2284,2284,Undirected,28
1371,1371,Undirected,28
2889,2889,Undirected,28
1459,1459,Undirected,28
1579,1579,Undirected,28
392,392,Undirected,21
19,19,Undirected,28
780,780,Undirected,28
1612,1612,Undirected,28
1462,1462,Undirected,28
2686,2686,Undirected,28
2766,2766,Undirected,28
1493,1493,Undirected,28
1430,1430,Undirected,28
183,183,Undirected,28
340,340,Undirected,28
2195,2195,Undirected,28
903,903,Undirected,21
235,235,Undirected,28
2858,2858,Undirected,28
2259,2259,Undirected,21
1893,1893,Undirected,28
2887,2887,Undirected,28
1044,1044,Undirected,21
1569,1569,Undirected,28
2755,2755,Undirected,28
2569,2569,Undirected,15
343,343,Undirected,28
1777,1777,Undirected,28
575,575,Undirected,28
1813,1813,Undirected,28
2039,2039,Undirected,28
1949,1949,Undirected,28
172,172,Undirected,28
2612,2612,Undirected,28
2085,2085,Undirected,28
2868,2868,Undirected,28
241,241,Undirected,21
2162,2162,Undirected,15
2675,2675,Undirected,28
1474,1474,Undirected,28
139,139,Undirected,28
1358,1358,Undirected,21
2573,2573,Undirected,28
1475,1475,Undirected,28
2736,2736,Undirected,28
2307,2307,Undirected,28
2704,2704,Undirected,28
2289,2289,Undirected,15
1154,1154,Undirected,28
2393,2393,Undirected,21
931,931,Undirected,28
2554,2554,Undirected,28
2373,2373,Undirected,28
24,24,Undirected,28
2780,2780,Undirected,21
2448,2448,Undirected,28
1553,1553,Undirected,28
1114,1114,Undirected,28
333,333,Undirected,28
1488,1488,Undirected,28
872,872,Undirected,28
897,897,Undirected,28
1809,1809,Undirected,28
2219,2219,Undirected,28
1149,1149,Undirected,28
2255,2255,Undirected,28
2613,2613,Undirected,28
2687,2687,Undirected,21
303,303,Undirected,28
2458,2458,Undirected,28
2773,2773,Undirected,28
2384,2384,Undirected,28
1055,1055,Undirected,21
111,111,Undirected,28
2882,2882,Undirected,28
51,51,Undirected,21
2880,2880,Undirected,105
2873,2873,Undirected,28
1673,1673,Undirected,28
2198,2198,Undirected,28
1082,1082,Undirected,28
490,490,Undirected,28
1113,1113,Undirected,28
2695,2695,Undirected,28
1433,1433,Undirected,28
386,386,Undirected,28
1842,1842,Undirected,28
2075,2075,Undirected,28
604,604,Undirected,28
289,289,Undirected,28
2201,2201,Undirected,28
2507,2507,Undirected,28
1037,1037,Undirected,21
2748,2748,Undirected,28
2313,2313,Undirected,28
1012,1012,Undirected,28
