Unique Identifier,episode_ref,track_name,date,decade,decade_episode,decade_episode_castaway_name,castaway_ref,std_artist,std_name
17365,2171,Number Twelve Train by Josh White,4/20/1970,70,70-125,70-125-james lockhart,1245,josh white,james lockhart
17366,2171,"Piano Sonata No. 29 in B flat major, Op. 106 'Hammerklavier by Ludwig van Beethoven",4/20/1970,70,70-126,70-126-james lockhart,1245,ludwig van beethoven,james lockhart
17367,2171,The Kingdom - The sun goeth down by Edward Elgar,4/20/1970,70,70-127,70-127-james lockhart,1245,edward elgar,james lockhart
17352,2170,Entry Of The Little Fauns by Pro Arte Orchestra,4/27/1970,70,70-128,70-128-sir gavin de beer,2559,pro arte orchestra,sir gavin de beer
17353,2170,La Mer by Claude Debussy,4/27/1970,70,70-129,70-129-sir gavin de beer,2559,claude debussy,sir gavin de beer
17354,2170,Bachianas brasileiras No. 5 by Heitor Villa-Lobos,4/27/1970,70,70-130,70-130-sir gavin de beer,2559,heitor villa lobos,sir gavin de beer
17355,2170,Piano Concerto No. 2 in C minor by Sergey Rachmaninov,4/27/1970,70,70-131,70-131-sir gavin de beer,2559,sergey rachmaninov,sir gavin de beer
17356,2170,Serenade (from Hassan) by Frederick Delius,4/27/1970,70,70-132,70-132-sir gavin de beer,2559,frederick delius,sir gavin de beer
17357,2170,The Three-Cornered Hat by Orchestre de la Suisse Romande,4/27/1970,70,70-133,70-133-sir gavin de beer,2559,orchestre de la suisse romande,sir gavin de beer
17358,2170,Death of Boris (from Boris Godunov) by Modest Mussorgsky,4/27/1970,70,70-134,70-134-sir gavin de beer,2559,modest mussorgsky,sir gavin de beer
17359,2170,Ride of the Valkyries (Die Walküre) by Richard Wagner,4/27/1970,70,70-135,70-135-sir gavin de beer,2559,richard wagner,sir gavin de beer
17344,2169,When I am laid in earth (Dido's Lament) (from Dido and Aeneas) by Henry Purcell,5/4/1970,70,70-136,70-136-gina cigna,1010,henry purcell,gina cigna
17345,2169,L'Orfeo by Claudio Monteverdi,5/4/1970,70,70-137,70-137-gina cigna,1010,claudio monteverdi,gina cigna
17346,2169,Symphony No. 9 in D minor 'Choral' by Ludwig van Beethoven,5/4/1970,70,70-138,70-138-gina cigna,1010,ludwig van beethoven,gina cigna
17347,2169,Gloria in D Major by Antonio Vivaldi,5/4/1970,70,70-139,70-139-gina cigna,1010,antonio vivaldi,gina cigna
17348,2169,Forest Murmurs (from Siegfried),5/4/1970,70,70-140,70-140-gina cigna,1010,forest murmurs from siegfried,gina cigna
17349,2169,Summertime (from Porgy & Bess) by Leontyne Price,5/4/1970,70,70-141,70-141-gina cigna,1010,leontyne price,gina cigna
17350,2169,The Sorcerer's Apprentice by Paul Dukas,5/4/1970,70,70-142,70-142-gina cigna,1010,paul dukas,gina cigna
17351,2169,Bolero by Maurice Ravel,5/4/1970,70,70-143,70-143-gina cigna,1010,maurice ravel,gina cigna
17336,2168,Sometimes I Feel Like A Motherless Child by Marian Anderson,5/11/1970,70,70-144,70-144-carol channing,395,marian anderson,carol channing
17337,2168,Heartbreak Hotel,5/11/1970,70,70-145,70-145-carol channing,395,elvis presley,carol channing
17338,2168,Civil War by Alan Bennett,5/11/1970,70,70-146,70-146-carol channing,395,alan bennett,carol channing
17339,2168,Born On The Bayou by Creedence Clearwater Revival,5/11/1970,70,70-147,70-147-carol channing,395,creedence clearwater revival,carol channing
17340,2168,Night On The Bare Mountain by Modest Mussorgsky,5/11/1970,70,70-148,70-148-carol channing,395,modest mussorgsky,carol channing
17341,2168,Moanin' Low by Libby Holman,5/11/1970,70,70-149,70-149-carol channing,395,libby holman,carol channing
17342,2168,Ma Pomme by Maurice Chevalier,5/11/1970,70,70-150,70-150-carol channing,395,maurice chevalier,carol channing
17343,2168,Rose's Turn by Ethel Merman,5/11/1970,70,70-151,70-151-carol channing,395,ethel merman,carol channing
17328,2167,"Romance in E flat major, Op. 44/1 by Anton Rubinstein",5/18/1970,70,70-152,70-152-graham usher,1042,anton rubinstein,graham usher
17329,2167,Salome by Richard Strauss,5/18/1970,70,70-153,70-153-graham usher,1042,richard strauss,graham usher
17330,2167,Fly Me To The Moon (In Other Words) by Bart Howard,5/18/1970,70,70-154,70-154-graham usher,1042,bart howard,graham usher
17331,2167,Symphonic Variations by César Franck,5/18/1970,70,70-155,70-155-graham usher,1042,cesar franck,graham usher
17332,2167,Lady Bracknell Interviews John Worthing (from The Importance Of Being Earnest) by Oscar Wilde,5/18/1970,70,70-156,70-156-graham usher,1042,oscar wilde,graham usher
17333,2167,Act 1 Duet (from Tosca) by Giacomo Puccini,5/18/1970,70,70-157,70-157-graham usher,1042,giacomo puccini,graham usher
17334,2167,"La Fille Mal Gardee by Orchestra of the Royal Opera House, Covent Garden",5/18/1970,70,70-158,70-158-graham usher,1042,orchestra of the royal opera house covent garden,graham usher
17335,2167,Hello Dolly by Carol Channing,5/18/1970,70,70-159,70-159-graham usher,1042,carol channing,graham usher
17320,2166,The Magic Flute by Wolfgang Amadeus Mozart,5/25/1970,70,70-160,70-160-andy stewart,109,wolfgang amadeus mozart,andy stewart
17321,2166,The Birth Of The Blues by Frank Sinatra,5/25/1970,70,70-161,70-161-andy stewart,109,frank sinatra,andy stewart
17322,2166,Torna a Surriento by Beniamino Gigli,5/25/1970,70,70-162,70-162-andy stewart,109,beniamino gigli,andy stewart
17323,2166,Violin Concerto in E Minor by Felix Mendelssohn,5/25/1970,70,70-163,70-163-andy stewart,109,felix mendelssohn,andy stewart
17324,2166,If I Loved You by Gordon MacRae,5/25/1970,70,70-164,70-164-andy stewart,109,gordon macrae,andy stewart
17325,2166,When I Fall In Love by Nat King Cole,5/25/1970,70,70-165,70-165-andy stewart,109,nat king cole,andy stewart
17326,2166,"Porgi, amor (from The Marriage of Figaro) by Wolfgang Amadeus Mozart",5/25/1970,70,70-166,70-166-andy stewart,109,wolfgang amadeus mozart,andy stewart
17327,2166,The Twenty-Third Psalm by Glasgow Orpheus Choir,5/25/1970,70,70-167,70-167-andy stewart,109,glasgow orpheus choir,andy stewart
17312,2165,Caprice No. 24 in A minor by John Williams,6/1/1970,70,70-168,70-168-keith michell,1518,john williams,keith michell
17313,2165,To This We've Come by Patricia Neway,6/1/1970,70,70-169,70-169-keith michell,1518,patricia neway,keith michell
17314,2165,Concierto De Aranjuez,6/1/1970,70,70-170,70-170-keith michell,1518,joaquin rodrigo,keith michell
17315,2165,Oedipus Rex by Igor Stravinsky,6/1/1970,70,70-171,70-171-keith michell,1518,igor stravinsky,keith michell
17316,2165,Toccata in C major by Johann Sebastian Bach,6/1/1970,70,70-172,70-172-keith michell,1518,johann sebastian bach,keith michell
17317,2165,Madrigal For Five Voices by Denis Stevens,6/1/1970,70,70-173,70-173-keith michell,1518,denis stevens,keith michell
17318,2165,Daphnis and Chloe by Maurice Ravel,6/1/1970,70,70-174,70-174-keith michell,1518,maurice ravel,keith michell
17319,2165,Brandenburg Concerto No. 4 In G Major by Johann Sebastian Bach,6/1/1970,70,70-175,70-175-keith michell,1518,johann sebastian bach,keith michell
22772,2848,Trumpet Voluntary by Jeremiah Clarke,6/8/1970,70,70-176,70-176-monica dickens,1905,jeremiah clarke,monica dickens
22773,2848,Scarborough Fair by Simon & Garfunkel,6/8/1970,70,70-177,70-177-monica dickens,1905,simon garfunkel,monica dickens
22774,2848,Bassoon Concerto in B flat major by Wolfgang Amadeus Mozart,6/8/1970,70,70-178,70-178-monica dickens,1905,wolfgang amadeus mozart,monica dickens
22775,2848,This is My Lovely Day by Georges Guetary & Lizbeth Webb,6/8/1970,70,70-179,70-179-monica dickens,1905,lizbeth webb,monica dickens
22776,2848,A Visit To America by Dylan Thomas,6/8/1970,70,70-180,70-180-monica dickens,1905,dylan thomas,monica dickens
22777,2848,Plaisir D'Amour by Suzy Delair,6/8/1970,70,70-181,70-181-monica dickens,1905,suzy delair,monica dickens
22778,2848,Cantata No. 140: Wachet auf by Johann Sebastian Bach,6/8/1970,70,70-182,70-182-monica dickens,1905,johann sebastian bach,monica dickens
22779,2848,"Far, Far From Wipers by Richard Howard",6/8/1970,70,70-183,70-183-monica dickens,1905,richard howard,monica dickens
17304,2164,Für Elise by Ludwig van Beethoven,6/15/1970,70,70-184,70-184-barbara windsor,221,ludwig van beethoven,barbara windsor
17305,2164,Do It Again by Judy Garland,6/15/1970,70,70-185,70-185-barbara windsor,221,judy garland,barbara windsor
17306,2164,The Best Is Yet To Come,6/15/1970,70,70-186,70-186-barbara windsor,221,the best,barbara windsor
17307,2164,"Fings Ain't Wot They Used Ter Be by Billy Cotton, Rita Williams Singers",6/15/1970,70,70-187,70-187-barbara windsor,221,rita williams singers,barbara windsor
17308,2164,Not An Asp by Kenneth Williams & Peter Brett,6/15/1970,70,70-188,70-188-barbara windsor,221,kenneth williams peter brett,barbara windsor
17309,2164,Every Little Movement Has A Meaning Of Its Own by Marie Lloyd,6/15/1970,70,70-189,70-189-barbara windsor,221,marie lloyd,barbara windsor
17311,2164,Apres L'Amour by Charles Aznavour,6/15/1970,70,70-190,70-190-barbara windsor,221,charles aznavour,barbara windsor
17296,2163,Symphony No. 4 in E minor by Johannes Brahms,6/22/1970,70,70-191,70-191-ida haendel,1161,johannes brahms,ida haendel
17297,2163,Che gelida manina (Your tiny hand is frozen) (from La Bohème) by Giacomo Puccini,6/22/1970,70,70-192,70-192-ida haendel,1161,giacomo puccini,ida haendel
17298,2163,Violin Concerto No 2 in D Minor (Opus 22) by Ida Haendel,6/22/1970,70,70-193,70-193-ida haendel,1161,ida haendel,ida haendel
17299,2163,Kol Nidrei by Richard Tucker,6/22/1970,70,70-194,70-194-ida haendel,1161,richard tucker,ida haendel
17300,2163,Trio No. 3 in D Minor by Ludwig van Beethoven,6/22/1970,70,70-195,70-195-ida haendel,1161,ludwig van beethoven,ida haendel
