Id,Label,std_artist
60-307,60-307-michaela armand denis,orchestre devereux
60-308,60-308-michaela armand denis,shamshad lata rafi
60-309,60-309-michaela armand denis,los paraguayos
60-310,60-310-michaela armand denis,the yaruba
60-311,60-311-lionel bart,judy garland
60-312,60-312-lionel bart,richard strauss
60-313,60-313-lionel bart,tommy steele
60-314,60-314-lionel bart,shirley bassey
60-315,60-315-lionel bart,peter sellers
60-316,60-316-lionel bart,gordon macrae
60-317,60-317-lionel bart,sammy davis jr
60-318,60-318-lionel bart,robert mcferrin
60-319,60-319-diane cilento,harold arlen
60-320,60-320-diane cilento,domenico modugno
60-321,60-321-diane cilento,eydie gorme
60-322,60-322-diane cilento,yves montand
60-323,60-323-diane cilento,dave brubeck
60-324,60-324-diane cilento,wolfgang amadeus mozart
60-325,60-325-diane cilento,joe williams
60-326,60-326-diane cilento,lotte lenya
60-327,60-327-alec bedser,the mantovani orchestra
60-328,60-328-alec bedser,flanagan and allen
60-329,60-329-alec bedser,felix mendelssohn
60-330,60-330-alec bedser,lord kitchener
60-331,60-331-alec bedser,hollywood studio symphony
60-332,60-332-alec bedser,kathleen ferrier
60-333,60-333-alec bedser,harry secombe
60-334,60-334-alec bedser,massed bands
60-335,60-335-sidney torch,jacques offenbach
60-336,60-336-sidney torch,norman wisdom
60-337,60-337-sidney torch,salvatore dell isola
60-338,60-338-sidney torch,pyotr ilyich tchaikovsky
60-339,60-339-sidney torch,jimmy durante
60-340,60-340-sidney torch,joan hammond
60-341,60-341-sidney torch,gene kelly
60-342,60-342-sidney torch,queen s light orchestra
60-343,60-343-ernest lough,pyotr ilyich tchaikovsky
60-344,60-344-ernest lough,johann sebastian bach
60-345,60-345-ernest lough,felix mendelssohn
60-346,60-346-ernest lough,edvard grieg
60-347,60-347-ernest lough,the choir of temple church
60-348,60-348-ernest lough,pyotr ilyich tchaikovsky
60-349,60-349-ernest lough,gabriel faure
60-350,60-350-ernest lough,hubert parry
60-351,60-351-cliff richard,pearl bailey
60-352,60-352-cliff richard,debbie reynolds
60-353,60-353-cliff richard,elvis presley
60-354,60-354-cliff richard,dakota staton
60-355,60-355-cliff richard,lena horne
60-356,60-356-cliff richard,dion the belmonts
60-357,60-357-cliff richard,bill haley and his comets
60-358,60-358-cliff richard,ray charles
60-359,60-359-frederick grisewood,pyotr ilyich tchaikovsky
60-360,60-360-frederick grisewood,richard strauss
60-361,60-361-frederick grisewood,gervase elwes
60-362,60-362-frederick grisewood,frédéric chopin
60-363,60-363-frederick grisewood,frederick delius
60-364,60-364-frederick grisewood,albert richardson
60-365,60-365-frederick grisewood,franz schubert
60-366,60-366-frederick grisewood,antonin dvorak
60-367,60-367-ursula bloom,h m king george vi
60-368,60-368-ursula bloom,richard wagner
60-369,60-369-ursula bloom,webster booth
60-370,60-370-ursula bloom,charles dickens
60-371,60-371-ursula bloom,noel coward
60-372,60-372-ursula bloom,morriston orpheus choir
60-373,60-373-ursula bloom,clara butt
60-374,60-374-ursula bloom,sound effects
60-375,60-375-edmund hockridge,ray conniff
60-376,60-376-edmund hockridge,pyotr ilyich tchaikovsky
60-377,60-377-edmund hockridge,andre previn
60-378,60-378-edmund hockridge,oscar hammerstein ii
60-379,60-379-edmund hockridge,peter sellers
60-380,60-380-edmund hockridge,sergey rachmaninov
60-381,60-381-edmund hockridge,giacomo puccini
60-382,60-382-edmund hockridge,frank sinatra
60-383,60-383-frank muir,bobby short
60-384,60-384-frank muir,ella fitzgerald
60-385,60-385-frank muir,glenn miller
60-386,60-386-frank muir,julie london
60-387,60-387-frank muir,edith piaf
60-388,60-388-frank muir,dylan thomas
60-389,60-389-frank muir,frank sinatra
60-390,60-390-frank muir,the jonah jones quartet
60-391,60-391-oda slobodskaya,nikolai rimsky korsakov
60-392,60-392-oda slobodskaya,igor stravinsky
60-393,60-393-oda slobodskaya,richard wagner
60-394,60-394-oda slobodskaya,benjamin britten
60-395,60-395-oda slobodskaya,pyotr ilyich tchaikovsky
60-396,60-396-oda slobodskaya,sergey rachmaninov
60-397,60-397-oda slobodskaya,–§—ë–¥–æ—Ä –®–∞–ª—è–ø–∏–Ω
60-398,60-398-oda slobodskaya,sergey rachmaninov
60-399,60-399-don thompson,kenneth mckellar
60-400,60-400-don thompson,ralph vaughan williams
60-401,60-401-don thompson,domenico scarlatti
60-402,60-402-don thompson,johann sebastian bach
60-403,60-403-don thompson,alfred drake
60-404,60-404-don thompson,johann sebastian bach
60-405,60-405-don thompson,joseph haydn
60-406,60-406-don thompson,johann sebastian bach
60-407,60-407-harry mortimer,arthur bliss
60-408,60-408-harry mortimer,hector berlioz
60-409,60-409-harry mortimer,george frideric handel
60-410,60-410-harry mortimer,gioachino rossini
60-411,60-411-harry mortimer,richard strauss
60-412,60-412-harry mortimer,harry mortimer
60-413,60-413-harry mortimer,arthur bliss
60-414,60-414-harry mortimer,pyotr ilyich tchaikovsky
60-415,60-415-dave king,juan garcia esquivel
60-416,60-416-dave king,frank sinatra
60-417,60-417-dave king,ted heath his music
60-418,60-418-dave king,eve boswell
60-419,60-419-dave king,mike and bernie winters
60-420,60-420-dave king,anita darian
60-421,60-421-dave king,ray martin and his orchestra
60-422,60-422-dave king,stubby kaye
60-423,60-423-victor gollancz,igor stravinsky
60-424,60-424-victor gollancz,hector berlioz
60-425,60-425-victor gollancz,wolfgang amadeus mozart
60-426,60-426-victor gollancz,ludwig van beethoven
60-427,60-427-victor gollancz,giuseppe verdi
60-428,60-428-victor gollancz,franz schubert
60-429,60-429-victor gollancz,johann sebastian bach
60-430,60-430-victor gollancz,ludwig van beethoven
60-431,60-431-kenneth horne,alexander borodin
60-432,60-432-kenneth horne,claude debussy
60-433,60-433-kenneth horne,johannes brahms
60-434,60-434-kenneth horne,coleman hawkins
60-435,60-435-kenneth horne,terry saunders
60-436,60-436-kenneth horne,pyotr ilyich tchaikovsky
60-437,60-437-kenneth horne,bing crosby
60-438,60-438-kenneth horne,giacomo puccini
60-439,60-439-beverley sisters,jean sibelius
60-440,60-440-beverley sisters,ron moody
60-441,60-441-beverley sisters,ludwig van beethoven
60-442,60-442-beverley sisters,charlie drake
60-443,60-443-beverley sisters,the beverley sisters
60-444,60-444-beverley sisters,maurice chevalier
60-445,60-445-beverley sisters,the brothers four
60-446,60-446-beverley sisters,edward elgar
60-447,60-447-ted williams,gene autry
60-448,60-448-ted williams,frank sinatra
60-449,60-449-ted williams,walter huston
60-450,60-450-ted williams,us third air force band
60-451,60-451-ted williams,bing crosby
60-452,60-452-ted williams,cavan o connor
60-453,60-453-ted williams,donald peers
60-454,60-454-ted williams,anne shelton
60-455,60-455-cyril mills,jean sablon
60-456,60-456-cyril mills,richard addinsell
60-457,60-457-cyril mills,giacomo puccini
60-458,60-458-cyril mills,bing crosby
60-459,60-459-cyril mills,winston churchill
60-460,60-460-cyril mills,giuseppe verdi
60-461,60-461-cyril mills,maurice chevalier
60-462,60-462-cyril mills,joan roberts
60-463,60-463-mary ure,jimmy shand
60-464,60-464-mary ure,eddie condon
60-465,60-465-mary ure,dylan thomas
60-466,60-466-mary ure,bob wilber s wildcats
60-467,60-467-mary ure,paul robeson
60-468,60-468-mary ure,wolfgang amadeus mozart
60-469,60-469-mary ure,lotte lenya
60-470,60-470-mary ure,felix mendelssohn
60-471,60-471-antonio,gustav holst
60-472,60-472-antonio,don marino barreto jnr
60-473,60-473-antonio,george gershwin
60-474,60-474-antonio,manuel de falla
60-475,60-475-antonio,henry salvador and his orchestra
60-476,60-476-antonio,peggy lee
60-477,60-477-antonio,antonio mairena
60-478,60-478-antonio,mario lanza
60-479,60-479-jimmy edwards,richard strauss
60-480,60-480-jimmy edwards,bert sullivan
60-481,60-481-jimmy edwards,richard strauss
60-482,60-482-jimmy edwards,gustav holst
60-483,60-483-jimmy edwards,pyotr ilyich tchaikovsky
60-484,60-484-jimmy edwards,billy may s big fat brass
60-485,60-485-jimmy edwards,usaf a portrait in sound
60-486,60-486-jimmy edwards,jimmy edwards
60-487,60-487-june bronhill,the mantovani orchestra
60-488,60-488-june bronhill,juanita hall
60-489,60-489-june bronhill,gaetano donizetti
60-490,60-490-june bronhill,dino borgioli
60-491,60-491-june bronhill,peter sellers
60-492,60-492-june bronhill,pyotr ilyich tchaikovsky
60-493,60-493-june bronhill,francesco cilea
60-494,60-494-june bronhill,carbonerillo de jerez
60-495,60-495-james mason,johnny hodges
60-496,60-496-james mason,count basie
60-497,60-497-james mason,heitor villa lobos
60-498,60-498-james mason,edvard grieg
60-499,60-499-james mason,bela bartok
60-500,60-500-james mason,billie holiday
60-501,60-501-james mason,cimarosa benjamin
60-502,60-502-james mason,black watch pipes drums and regimental band
60-503,60-503-carmen dragon,ella fitzgerald
60-504,60-504-carmen dragon,johann sebastian bach
60-505,60-505-carmen dragon,duke ellington
60-506,60-506-carmen dragon,gordon macrae
60-507,60-507-carmen dragon,pyotr ilyich tchaikovsky
60-508,60-508-carmen dragon,georges bizet
