Source,Target,Type,Weight
40-372,50-468,Undirected,1
10-2301,10-2303,Undirected,1
50-1292,50-1745,Undirected,1
50-1660,10-1741,Undirected,1
50-1968,10-1312,Undirected,1
40-438,50-1249,Undirected,1
40-351,50-1237,Undirected,1
50-3183,10-2686,Undirected,1
40-383,50-386,Undirected,1
50-2063,50-2683,Undirected,1
10-1446,10-1922,Undirected,1
50-2801,10-1139,Undirected,1
50-1324,10-1259,Undirected,1
10-1471,10-2882,Undirected,1
40-130,50-2605,Undirected,1
50-3043,10-2605,Undirected,1
10-2641,10-2878,Undirected,1
50-89,50-1334,Undirected,1
50-1893,10-661,Undirected,1
50-356,50-1691,Undirected,1
50-320,50-453,Undirected,1
50-2859,10-1282,Undirected,1
50-525,50-1676,Undirected,1
50-626,50-1267,Undirected,1
50-445,10-1711,Undirected,1
40-323,10-2712,Undirected,1
50-281,10-2107,Undirected,1
50-353,50-500,Undirected,1
50-2113,10-1645,Undirected,1
40-103,50-1204,Undirected,1
50-291,50-1894,Undirected,1
50-2114,10-1489,Undirected,1
10-2341,10-2743,Undirected,1
10-1720,10-1767,Undirected,1
40-402,20-371,Undirected,1
50-524,50-1488,Undirected,1
40-136,40-379,Undirected,1
50-2168,50-3203,Undirected,1
50-1957,50-2932,Undirected,1
50-1645,20-132,Undirected,1
40-34,10-1663,Undirected,1
50-1160,50-2415,Undirected,1
50-3054,10-2389,Undirected,1
50-2890,10-2104,Undirected,1
50-2233,50-2685,Undirected,1
40-516,50-1288,Undirected,1
50-1425,50-1802,Undirected,1
10-1736,10-2940,Undirected,1
50-146,50-2190,Undirected,1
50-302,50-2235,Undirected,1
50-2168,10-895,Undirected,1
50-668,10-3036,Undirected,1
40-411,50-2154,Undirected,1
50-268,20-353,Undirected,1
50-1062,10-1432,Undirected,1
10-846,10-2957,Undirected,1
50-2572,10-2611,Undirected,1
50-540,50-1391,Undirected,1
10-882,10-1015,Undirected,1
10-1399,10-2427,Undirected,1
50-1235,10-1632,Undirected,1
50-2644,10-590,Undirected,1
50-2337,50-3203,Undirected,1
40-203,50-1342,Undirected,1
10-2871,20-162,Undirected,1
50-632,50-2389,Undirected,1
50-2556,50-2908,Undirected,1
50-1628,10-1513,Undirected,1
50-2845,10-649,Undirected,1
10-19,10-752,Undirected,1
50-2337,10-895,Undirected,1
40-262,10-1392,Undirected,1
50-1385,10-2953,Undirected,1
50-83,10-128,Undirected,1
50-2957,10-62,Undirected,1
40-247,50-48,Undirected,1
40-509,50-2389,Undirected,1
50-92,50-1276,Undirected,1
10-2115,20-225,Undirected,1
10-2115,10-2216,Undirected,1
50-1225,10-1513,Undirected,1
50-1892,50-2646,Undirected,1
50-1957,50-3193,Undirected,1
50-1063,10-273,Undirected,1
40-533,10-354,Undirected,1
50-3062,10-704,Undirected,1
50-2998,10-1534,Undirected,1
50-2298,10-458,Undirected,1
50-190,50-1516,Undirected,1
40-391,50-1867,Undirected,1
50-2563,10-2509,Undirected,1
50-850,50-1355,Undirected,1
50-1580,50-1674,Undirected,1
10-2387,10-2608,Undirected,1
50-2549,10-2256,Undirected,1
10-2266,10-2662,Undirected,1
40-417,50-1971,Undirected,1
50-1355,10-1944,Undirected,1
